scenario_id,scale,n_tasks,record_index,disruption_type,severity,spec_duration_hours,applied_kind,target,extra_hours,baseline_makespan,new_makespan,makespan_increase_hours,makespan_increase_pct,tasks_moved,reschedule_ms_mean,reschedule_ms_std,repaired_precedence_violations,repaired_resource_conflicts,repaired_working_time_compliance,repaired_feasible,error
large_enterprise_manufacturing_750,large,750,0,plant_shutdown,critical,48.0,resource_outage,M012,48.0,76.32,106.14,29.82,39.0723,44,17.0923,0.0626,0,0,1.0,True,
large_enterprise_manufacturing_750,large,750,1,machine_failure,high,32.0,resource_outage,M012,32.0,76.32,90.14,13.82,18.108,19,16.8578,0.1369,0,0,1.0,True,
large_enterprise_manufacturing_750,large,750,2,calendar_change,medium,16.0,task_delay,T396,16.0,76.32,92.32,16.0,20.9644,35,16.931,0.1251,0,0,1.0,True,
large_enterprise_manufacturing_750,large,750,3,resource_unavailable,medium,8.0,resource_outage,M012,8.0,76.32,76.32,0.0,0.0,19,17.0119,0.2683,0,0,1.0,True,
large_industrial_scale_500,large,500,0,machine_failure,high,24.0,resource_outage,M013,24.0,46.92,58.11,11.19,23.8491,5,15.7659,0.3,0,0,1.0,True,
large_industrial_scale_500,large,500,1,worker_strike,critical,72.0,resource_outage,W005,72.0,46.92,116.16,69.24,147.5703,14,15.6078,0.2085,0,0,1.0,True,
large_industrial_scale_500,large,500,2,supply_shortage,high,48.0,task_delay,T313,48.0,46.92,94.92,48.0,102.3018,1,15.763,0.2341,0,0,1.0,True,
large_industrial_scale_500,large,500,3,quality_rejection,critical,96.0,task_delay,T313,96.0,46.92,142.92,96.0,204.6036,1,15.5714,0.3051,0,0,1.0,True,
large_mega_scale_factory_1000,large,1000,0,catastrophic_failure,critical,120.0,resource_outage,M005,120.0,92.88,209.64,116.76,125.7106,42,15.843,0.9737,0,0,1.0,True,
large_mega_scale_factory_1000,large,1000,1,supply_shortage,critical,240.0,task_delay,T311,240.0,92.88,332.88,240.0,258.3979,30,14.8773,0.3834,0,0,1.0,True,
large_mega_scale_factory_1000,large,1000,2,worker_absence,high,72.0,resource_outage,W011,72.0,92.88,160.61,67.73,72.922,31,14.7302,0.3007,0,0,1.0,True,
large_mega_scale_factory_1000,large,1000,3,regulatory_shutdown,critical,96.0,task_delay,T311,96.0,92.88,188.88,96.0,103.3592,30,15.0176,0.4162,0,0,1.0,True,
