file,scenario_id,scale,n_tasks,n_dependencies,n_resources,shift_type,n_holidays,solved,timed_out,makespan_work_hours,elapsed_calendar_hours,project_start,project_end,total_task_work_hours,solve_total_ms_mean,solve_total_ms_std,algebra_ms_mean,calendar_ms_mean,critical_path_tasks,mean_slack_work_hours,max_slack_work_hours,mean_utilization,available_work_hours,working_time_compliance,uninterrupted_compliance,n_interrupted_tasks,all_intervals_in_working_time,precedence_violations,resource_conflicts,feasible,skill_coverage_mean,tasks_fully_skill_covered,n_disruption_records,error,closure_total_ms,closure_matches_topological
large_enterprise_manufacturing_750.json,large_enterprise_manufacturing_750,large,750,212,40,multi_shift,4,True,False,76.32,109.32,2025-01-06T08:00:00,2025-01-10T21:19:12,2040.11,17.567,0.5523,4.6677,11.7614,54,16.7855,27.0,0.6683,76.32,1.0,0.688,234,True,0,0,True,0.8533,530,4,,355.9522,True
large_industrial_scale_500.json,large_industrial_scale_500,large,500,122,40,multi_shift,4,True,False,46.92,63.92,2025-01-06T08:00:00,2025-01-08T23:55:12,1443.01,15.9471,0.1499,2.7183,12.385,16,8.8078,18.25,0.7689,46.92,1.0,0.692,154,True,0,0,True,0.824,324,4,,120.5252,True
large_mega_scale_factory_1000.json,large_mega_scale_factory_1000,large,1000,291,40,24_7,4,True,False,92.88,92.88,2025-01-06T00:00:00,2025-01-09T20:52:48,2856.2,15.2603,0.4415,6.784,6.9763,21,7.8351,14.12,0.7688,92.88,1.0,1.0,0,True,0,0,True,0.823,646,4,,968.8213,True
medium_complex_manufacturing_120.json,medium_complex_manufacturing_120,medium,120,50,20,standard_day,4,True,False,34.34,98.34,2025-01-06T08:00:00,2025-01-10T10:20:24,334.41,6.2776,0.1104,0.5436,5.2725,9,12.9157,21.23,0.4869,34.34,1.0,0.483333,62,True,0,0,True,0.8583,86,3,,7.4431,True
medium_multi_shift_factory_150.json,medium_multi_shift_factory_150,medium,150,67,20,multi_shift,4,True,False,63.51,88.51,2025-01-06T08:00:00,2025-01-10T00:30:36,447.66,6.5704,0.1632,0.6784,5.4387,14,30.9739,56.05,0.3524,63.51,1.0,0.666667,50,True,0,0,True,0.83,99,2,,8.2149,True
medium_supply_chain_180.json,medium_supply_chain_180,medium,180,70,20,standard_day,4,True,False,57.31,217.31,2025-01-06T08:00:00,2025-01-15T09:18:36,459.74,6.4802,0.066,0.8333,5.0769,13,25.9417,41.17,0.4011,57.31,1.0,0.477778,94,True,0,0,True,0.8639,131,3,,9.7077,True
small_disrupted_manufacturing_25.json,small_disrupted_manufacturing_25,small,25,9,10,standard_day,4,True,False,20.76,53.76,2025-01-06T08:00:00,2025-01-08T13:45:36,89.5,2.4182,0.0725,0.1107,2.0184,4,7.0456,16.51,0.4311,20.76,1.0,0.44,14,True,0,0,True,0.82,16,4,,2.4598,True
small_multi_resource_35.json,small_multi_resource_35,small,35,26,10,standard_day,4,True,False,20.26,53.26,2025-01-06T08:00:00,2025-01-08T13:15:36,93.36,2.8196,0.0168,0.1677,2.345,7,4.7883,14.98,0.4608,20.26,1.0,0.457143,19,True,0,0,True,0.8714,26,2,,2.8412,True
small_shift_operations_40.json,small_shift_operations_40,small,40,20,10,multi_shift,4,True,False,17.63,25.63,2025-01-06T08:00:00,2025-01-07T09:37:48,95.22,3.2092,0.1102,0.1853,2.6733,7,2.9905,9.31,0.5401,17.63,1.0,0.8,8,True,0,0,True,0.8375,27,2,,3.0903,True
tiny_assembly_demo.json,tiny_assembly_demo,tiny,8,1,5,standard_day,4,True,False,11.59,27.59,2025-01-06T08:00:00,2025-01-07T11:35:24,22.72,1.6352,0.0058,0.0423,1.306,3,3.6375,9.77,0.3921,11.59,1.0,0.5,4,True,0,0,True,0.875,6,2,,1.659,True
tiny_manufacturing_demo.json,tiny_manufacturing_demo,tiny,6,1,5,standard_day,4,True,False,6.93,7.93,2025-01-06T08:00:00,2025-01-06T15:55:48,13.62,1.6175,0.0054,0.028,1.3067,1,4.1933,5.76,0.3931,6.93,1.0,0.833333,1,True,0,0,True,0.75,3,2,,1.6313,True
tiny_quality_demo.json,tiny_quality_demo,tiny,5,2,5,standard_day,4,True,False,5.91,6.91,2025-01-06T08:00:00,2025-01-06T14:54:36,9.78,1.0369,0.0202,0.0299,0.7397,2,1.938,3.59,0.331,5.91,1.0,0.8,1,True,0,0,True,0.7,2,2,,1.0632,True
